timestamp,message,logStreamName
1.65605E+12,"START RequestId: e17f1dd2-21fe-4693-8b9b-2faa55aad20c Version: $LATEST
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"[DEBUG]	2022-06-24T07:04:37.306Z	e17f1dd2-21fe-4693-8b9b-2faa55aad20c	event.bot.name=BookTrip
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"[DEBUG]	2022-06-24T07:04:37.307Z	e17f1dd2-21fe-4693-8b9b-2faa55aad20c	dispatch userId=John, intentName=BookCar
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"END RequestId: e17f1dd2-21fe-4693-8b9b-2faa55aad20c
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"REPORT RequestId: e17f1dd2-21fe-4693-8b9b-2faa55aad20c	Duration: 32.60 ms	Billed Duration: 33 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	Init Duration: 165.80 ms	
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"START RequestId: 3fac9e50-06d3-4712-b2d5-b8081a4301ca Version: $LATEST
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"[DEBUG]	2022-06-24T07:05:02.366Z	3fac9e50-06d3-4712-b2d5-b8081a4301ca	event.bot.name=BookTrip
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"[DEBUG]	2022-06-24T07:05:02.366Z	3fac9e50-06d3-4712-b2d5-b8081a4301ca	dispatch userId=John, intentName=BookHotel
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"END RequestId: 3fac9e50-06d3-4712-b2d5-b8081a4301ca
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
1.65605E+12,"REPORT RequestId: 3fac9e50-06d3-4712-b2d5-b8081a4301ca	Duration: 1.62 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 38 MB	
",2022/06/24/[$LATEST]27d0a4db71ec4b859ef7a73bb4e223ec
